"dailyid","year","month","day","dayofweek","hour","minute","latitude","longitude","os","home_countryname","plmn","plmn_countryname","setting_currency","setting_language","setting_country","logtype_category","logtype_subcategory","accuracy","speed","course","mesh100mid"
3368610588,2019,7,3,3,0,19,14.33886,120.825128,"Android","Philippines",51503,"Philippines","USD","en","US","background","timer",600,,,1563017065111
3368610588,2019,7,3,3,0,53,14.33886,120.825128,"Android","Philippines",51503,"Philippines","USD","en","US","background","timer",600,,,1563017065110
3368610588,2019,7,3,3,0,57,14.29183,120.825777,"Android","Philippines",51503,"Philippines","USD","en","US","background","timer",22.257,,,1563016083242
3368610588,2019,7,3,3,1,1,14.29183,120.825777,"Android","Philippines",51503,"Philippines","USD","en","US","background","timer",800,,,1563016083242
3368610588,2019,7,3,3,1,21,14.29183,120.825777,"Android","Philippines",51503,"Philippines","USD","en","US","background","timer",26.453,,,1563016083242
3368610588,2019,7,3,3,2,19,14.292702,120.823983,"Android","Philippines",51503,"Philippines","USD","en","US","background","timer",22.174,,,1563016083242
3368610588,2019,7,3,3,2,29,14.29183,120.825776,"Android","Philippines",51503,"Philippines","USD","en","US","background","timer",26.432,,,1563016083242
3368610588,2019,7,3,3,2,30,14.29183,120.825777,"Android","Philippines",51503,"Philippines","USD","en","US","background","timer",800,,,1563016083242
3368610588,2019,7,3,3,2,49,14.291308,120.8247,"Android","Philippines",51503,"Philippines","USD","en","US","background","timer",800,,,1563016083242
3368610588,2019,7,3,3,3,1,14.311615,120.81871,"Android","Philippines",51503,"Philippines","USD","en",,,,,,,
3368610588,2019,7,3,3,3,21,14.291151,120.826815,"Android","Philippines",51503,"Philippines","USD","en",,,,,,,
3368610588,2019,7,3,3,4,23,14.29183,120.825777,"Android","Philippines",51503,"Philippines","USD","en",,,,,,,
3368610588,2019,7,3,3,4,33,14.291081,120.827256,"Android","Philippines",51503,"Philippines","USD","en",,,,,,,
3368610588,2019,7,3,3,4,55,14.291083,120.827258,"Android","Philippines",51503,"Philippines","USD","en",,,,,,,
3368610588,2019,7,3,3,5,11,14.291081,120.827235,"Android","Philippines",51503,"Philippines","USD","en",,,,,,,
3368610588,2019,7,3,3,5,22,14.291376,120.827235,"Android","Philippines",51503,"Philippines","USD","en",,,,,,,
3368610588,2019,7,3,3,5,33,14.291069,120.827235,"Android","Philippines",51503,"Philippines","USD","en",,,,,,,
3368610588,2019,7,3,3,5,44,14.291308,120.8247,"Android","Philippines",51503,"Philippines","USD","en",,,,,,,
3368610588,2019,7,3,3,6,55,14.291308,120.8247,"Android","Philippines",51503,"Philippines","USD","en",,,,,,,
3368610588,2019,7,3,3,6,59,14.29183,120.825,"Android","Philippines",51503,"Philippines","USD","en",,,,,,,
3368610588,2019,7,3,3,7,33,14.29183,120.8251,"Android","Philippines",51503,"Philippines","USD","en",,,,,,,
3368610588,2019,7,3,3,7,44,14.29183,120.8252,"Android","Philippines",51503,"Philippines","USD","en",,,,,,,
